,State Agency or Indian Tribal Organization,Child Part,Avg Food Cost per Person,Cumulative Food Cost,Nutritional services admin annual cost,Infants Full Breastfed Part,Infants partially Breastfed Part,Part Infants Formula-fed,Total Infants Part,Pregnant Women Part,Tot Breastfeeding Women Part,Fully Breastfeeding Women Part,Partially Breastfeeding Women Part,Postpartum Women Part,Total Women Part,Cumulative Rebate Cost
10,Delaware,9614.66666666667,40.5460730343239,9243491,4895837.0,398.5,828.416666666667,3826.0833333333294,5053,2050.75,891.083333333333,363.25,527.833333333333,1388.41666666667,4330.25,5116511
11,District of Columbia,6510.75,44.0074579343816,7670984,6134141.0,409.916666666667,1249.5,2539.4166666666697,4198.83333333333,1336.91666666667,1472.83333333333,555.0,917.833333333333,1006.58333333333,3816.33333333333,3945840
12,Maryland,74415.5,45.1395823561396,77373397,30839031.0,4042.6666666666706,8494.5,21679.6666666667,34216.8333333333,14796.25,10826.3333333333,3565.0,7261.33333333333,8586.08333333333,34208.6666666667,29255943
13,New Jersey,88112.4166666667,53.4839196215617,103757360,35987911.0,4263.0,10588.1666666667,21732.3333333333,36583.5,14232.25,13509.5,4473.0,9036.5,9226.75,36968.5,35729260
14,Pennsylvania,126168.083333333,45.9316812754997,135578978,55735977.0,8572.66666666667,3437.5,52910.5833333333,64920.75,23957.25,11245.9166666667,8087.33333333333,3158.5833333333303,19687.4166666667,54890.5833333333,55396280
15,Puerto Rico,103170.666666667,86.3772963185689,171070840,36650855.0,4286.333333333329,3384.0833333333303,22103.0,29773.4166666667,15579.25,7600.75,4294.916666666671,3305.8333333333303,8918.16666666667,32098.1666666667,19256813
16,Virginia,68179.9166666667,30.6783770395923,51404075,35359709.0,4210.166666666671,4157.666666666671,28340.5,36708.3333333333,14674.1666666667,7418.83333333333,3792.0,3626.8333333333294,12650.4166666667,34743.4166666667,37385517
17,Virgin Islands,2363.16666666667,79.0007043996421,4149670,1833917.0,96.25,530.166666666667,340.33333333333303,966.75,367.583333333333,555,83.5833333333333,471.416666666667,124.75,1047.33333333333,823403
18,West Virginia,20945.0833333333,39.2165171568285,19624455,11111881.0,1127.75,770.583333333333,8866.5,10764.8333333333,4334.41666666667,1526.41666666667,1088.75,437.666666666667,4130.33333333333,9991.16666666667,10586407
19,Alabama,64474.6666666667,48.3383308326916,76644919,30238609.0,1756.0,2664.75,30353.9166666667,34774.6666666667,16162.8333333333,3579.91666666667,1731.16666666667,1848.75,13140.6666666667,32883.4166666667,29102492
20,Florida,244873.916666667,42.1747339266552,244855118,101255382.0,13234.333333333301,22758.3333333333,83927.4166666667,119920.083333333,48648.6666666667,36310.0833333333,13565.333333333301,22744.75,34058.0833333333,119016.833333333,122214702
21,Georgia,132329.666666667,40.0295918100308,126957333,68618212.0,5896.25,13516.5,46132.0833333333,65544.8333333333,18865.3333333333,19858.4166666667,5399.0,14459.416666666699,27700.6666666667,66424.4166666667,67900192
22,Kentucky,58323.8333333333,42.7221914188389,59561015,29186300.0,2173.6666666666697,3248.1666666666697,24807.3333333333,30229.1666666667,13060.3333333333,4556,2253.0,2303.0,10009.5833333333,27625.9166666667,27458538
23,Mississippi,41381.4166666667,53.3501514674732,56795771,19571486.0,733.833333333333,1740.75,23296.5,25771.0833333333,9131.25,2505,859.583333333333,1645.41666666667,9926.66666666667,21562.9166666667,0
24,North Carolina,127586.833333333,42.8469092005272,127638286,55916085.0,7682.91666666667,9745.83333333333,43813.6666666667,61242.4166666667,23782.1666666667,16995.1666666667,7426.66666666667,9568.5,18638.25,59415.5833333333,59914494
25,South Carolina,51665.3333333333,45.941251393901,63157230,25724206.0,2775.4166666666697,4580.25,24996.1666666667,32351.8333333333,13046,6802.33333333333,2782.4166666666697,4019.9166666666706,10696.0833333333,30544.4166666667,30091145
26,Tennessee,67650.1666666667,38.2304582741429,68867927,38801808.0,3874.25,4672.833333333329,33737.1666666667,42284.25,18064,8766.83333333333,4195.916666666671,4570.916666666671,13350.5,40181.3333333333,47739807
27,"Choctaw Indians, MS",421.416666666667,41.6409994321408,366649,466528.0,1.6666666666666698,9.08333333333333,171.75,182.5,93.4166666666667,6.41666666666667,1.6666666666666698,4.75,30,129.833333333333,0
28,"Eastern Cherokee, NC",349.083333333333,38.1847133757962,281765,388749.0,23.3333333333333,14.75,97.5,135.583333333333,50.1666666666667,38.4166666666667,23.3333333333333,15.083333333333302,41.6666666666667,130.25,122444
29,Illinois,120039.083333333,48.4444333749449,143934564,54160297.0,5707.25,11484.333333333301,51016.0833333333,68207.6666666667,26055.0833333333,16506.25,5293.333333333329,11212.916666666699,16785.8333333333,59347.1666666667,72348842
30,Indiana,78826,38.4678279482192,71312198,31985082.0,3605.5,3793.4166666666706,31632.6666666667,39031.5833333333,14254.25,7241.75,3865.5,3376.25,15130.9166666667,36626.9166666667,39932024
31,Michigan,129715.333333333,38.6219935669429,113469486,58399312.0,7975.75,5051.833333333329,47834.3333333333,60861.9166666667,25748.25,10488.4166666667,6578.0,3910.4166666666706,18015.25,54251.9166666667,58155331
32,Minnesota,65057.9166666667,44.073938135149,63150593,31286597.0,3907.4166666666706,5780.0,17268.5,26955.9166666667,10468.25,9633.41666666667,4094.25,5539.16666666667,7287.25,27388.9166666667,27665884
33,Ohio,120472.916666667,34.7572655411806,101852969,53141711.0,6242.75,2201.4166666666697,57426.9166666667,65871.0833333333,24227.1666666667,13128,6139.66666666667,6988.33333333333,20501.5,57856.6666666667,62606858
34,Wisconsin,56437.4166666667,44.733195475983,56634149,28398647.0,3344.0833333333303,2344.0,19809.6666666667,25497.75,9151.5,5661.5,3493.5,2168.0,8755.41666666667,23568.4166666667,22874323
